rank,movie_title,rating,year,star_cast,Director
184,Harry Potter and the Deathly Hallows: Part 2,8.077995224103812,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",David Yates
185,Gone Girl,8.077263398432608,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike",David Fincher
186,The General,8.07691363740963,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",Clyde Bruckman
187,The Deer Hunter,8.075066045949113,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",Michael Cimino
188,In the Name of the Father,8.073997073872002,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",Jim Sheridan
189,The Grand Budapest Hotel,8.073913280149512,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",Wes Anderson
190,Barry Lyndon,8.071657307679251,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",Stanley Kubrick
191,Le salaire de la peur,8.07151676453976,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",Henri-Georges Clouzot
192,Mr Smith Goes to Washington,8.070004450130192,1939,"Frank Capra (dir.), James Stewart, Jean Arthur",Frank Capra
193,Hacksaw Ridge,8.069156969866714,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",Mel Gibson
194,Sherlock Jr,8.06907690340655,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",Buster Keaton
195,Salinui chueok,8.068644847561103,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",Bong Joon
196,Klaus,8.068044215693634,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",Sergio Pablos
197,Relatos salvajes,8.066244936515542,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",Damián Szifron
198,Det sjunde inseglet,8.065302882872096,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",Ingmar Bergman
199,Room,8.064818182392075,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",Lenny Abrahamson
200,Mad Max: Fury Road,8.063073751339928,2015,"George Miller (dir.), Tom Hardy, Charlize Theron",George Miller
201,How to Train Your Dragon,8.061863113324952,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",Dean DeBlois
202,Mary and Max,8.060934141863786,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",Adam Elliot
203,The Big Lebowski,8.060774248419788,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",Joel Coen
204,Jaws,8.06046523741946,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",Steven Spielberg
205,"Monsters, Inc",8.059706313973725,2001,"Pete Docter (dir.), Billy Crystal, John Goodman",Pete Docter
206,Tôkyô monogatari,8.056281503087364,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",Yasujirô Ozu
207,Everything Everywhere All at Once,8.055730598394458,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",Dan Kwan
208,Dead Poets Society,8.054874508543811,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",Peter Weir
209,La passion de Jeanne d'Arc,8.053993610084152,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",Carl Theodor
210,Hotel Rwanda,8.05191997254846,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo",Terry George
211,Ford v Ferrari,8.04735155017747,2019,"James Mangold (dir.), Matt Damon, Christian Bale",James Mangold
212,Rocky,8.047336227073963,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",John G.
213,Platoon,8.04630156697356,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",Oliver Stone
214,Pather Panchali,8.04204863802582,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",Satyajit Ray
215,The Terminator,8.040987272165573,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",James Cameron
216,Stand by Me,8.04097347975681,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",Rob Reiner
217,Spotlight,8.04002007512947,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",Tom McCarthy
218,Rush,8.037942630693447,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",Ron Howard
219,Logan,8.037631936966935,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",James Mangold
220,Ratatouille,8.03661410966833,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano",Brad Bird
221,Network,8.03640807299957,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",Sidney Lumet
222,Into the Wild,8.034969403810962,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",Sean Penn
223,The Wizard of Oz,8.033873178579285,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan",Victor Fleming
224,Groundhog Day,8.030711221731513,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",Harold Ramis
225,Before Sunset,8.030032986399316,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",Richard Linklater
226,Jai Bhim,8.028853341670818,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",T.J. Gnanavel
227,The Exorcist,8.027389387314953,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",William Friedkin
228,The Best Years of Our Lives,8.026377984581169,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews",William Wyler
229,The Incredibles,8.025762421001517,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",Brad Bird
230,To Be or Not to Be,8.023724065644101,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",Ernst Lubitsch
231,La battaglia di Algeri,8.023092163304232,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",Gillo Pontecorvo
